Inserted List,ORF Name,Gene Name,UniProt_Acc,Description
YKL017C,YKL017C,HCS1,P34243,Hexameric DNA polymerase alpha-associated DNA helicase A involved in lagging strand DNA synthesis; contains single-stranded DNA stimulated ATPase and dATPase activities; replication protein A stimulates helicase and ATPase activities
YNL021W,YNL021W,HDA1,P53973,"Putative catalytic subunit of a class II histone deacetylase complex that also contains Hda2p and Hda3p; Hda1p interacts with the Hda2p-Hda3p subcomplex to form an active tetramer; deletion increases histone H2B, H3 and H4 acetylation"
YDR295C,YDR295C,HDA2,Q06629,Subunit of a possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex containing an Hda1p homodimer and an Hda2p-Hda3p heterodimer; involved in telomere maintenance
YPR179C,YPR179C,HDA3,Q06623,Subunit of a possibly tetrameric trichostatin A-sensitive class II histone deacetylase complex that contains an Hda1p homodimer and an Hda2p-Hda3p heterodimer; required for the activity of the complex; has similarity to Hda2p
YDR014W-A,YDR014W-A,HED1,Q03937,"Meiosis-specific protein that down-regulates Rad51p-mediated mitotic recombination when the meiotic recombination machinery is impaired; early meiotic gene, transcribed specifically during meiotic prophase"
YNL014W,YNL014W,HEF3,P53978,Translational elongation factor EF-3; paralog of YEF3 and member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells
YDR458C,YDR458C,HEH2,Q03281,"Inner nuclear membrane (INM) protein; contains helix-extension-helix (HEH) motif, nuclear localization signal sequence; targeting to the INM requires the Srp1p-Kap95p karyopherins and the Ran cycle"
YBL032W,YBL032W,HEK2,P38199,"RNA binding protein involved in the asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K"
YKR017C,YKR017C,HEL1,P36113,Putative protein of unknown function; contains a RING finger motif
YDR266C,YDR266C,HEL2,Q05580,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments;green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; contains a RING finger domain"
YDR047W,YDR047W,HEM12,P32347,"Uroporphyrinogen decarboxylase, catalyzes the fifth step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; a hem12 mutant has phenotypes similar to patients with porphyria cutanea tarda"
YDR044W,YDR044W,HEM13,P11353,"Coproporphyrinogen III oxidase, an oxygen requiring enzyme that catalyzes the sixth step in the heme biosynthetic pathway; transcription is repressed by oxygen and heme (via Rox1p and Hap1p)"
YER014W,YER014W,HEM14,P40012,"Protoporphyrinogen oxidase, a mitochondrial enzyme that catalyzes the seventh step in the heme biosynthetic pathway, converting protoporphyrinogen IX to protoporphyrin IX; inhibited by diphenyl ether-type herbicides"
YOR176W,YOR176W,HEM15,P16622,"Ferrochelatase, a mitochondrial inner membrane protein, catalyzes the insertion of ferrous iron into protoporphyrin IX, the eighth and final step in the heme biosynthetic pathway"
YDR232W,YDR232W,HEM1,P09950,"5-aminolevulinate synthase, catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p"
YGL040C,YGL040C,HEM2,P05373,"Aminolevulinate dehydratase, a homo-octameric enzyme, catalyzes the conversion of 5-aminolevulinate to porphobilinogen, the second step in heme biosynthesis; enzymatic activity is zinc-dependent; localizes to the cytoplasm and nucleus"
YDL205C,YDL205C,HEM3,P28789,"Porphobilinogen deaminase, catalyzes the conversion of 4-porphobilinogen to hydroxymethylbilane, the third step in heme biosynthesis; localizes to the cytoplasm and nucleus; expression is regulated by Hap2p-Hap3p, but not by levels of heme"
YOR278W,YOR278W,HEM4,P06174,"Uroporphyrinogen III synthase, catalyzes the conversion of hydroxymethylbilane to uroporphyrinogen III, the fourth step in heme biosynthesis; deficiency in the human homolog can result in the disease congenital erythropoietic porphyria"
YOR227W,YOR227W,HER1,Q12276,"Protein of unknown function required for proliferation or remodeling of the ER that is caused by overexpression of Hmg2p; may interact with ribosomes, based on co-purification experiments"
YMR293C,YMR293C,HER2,Q03557,Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; required for remodeling of ER caused by Hmg2p overexpression; similar to bacterial GatA glutamyl-tRNA amidotransferase
YOR237W,YOR237W,HES1,P35843,Protein implicated in the regulation of ergosterol biosynthesis; one of a seven member gene family with a common essential function and non-essential unique functions; similar to human oxysterol binding protein (OSBP)
YMR207C,YMR207C,HFA1,P32874,"Mitochondrial acetyl-coenzyme A carboxylase, catalyzes the production of malonyl-CoA in mitochondrial fatty acid biosynthesis"
YMR110C,YMR110C,HFD1,Q04458,"Putative fatty aldehyde dehydrogenase, located in the mitochondrial outer membrane and also in lipid particles; has similarity to human fatty aldehyde dehydrogenase (FALDH) which is implicated in Sjogren-Larsson syndrome"
YPL254W,YPL254W,HFI1,Q12060,"Adaptor protein required for structural integrity of the SAGA complex, a histone acetyltransferase-coactivator complex that is involved in global regulation of gene expression through acetylation and transcription functions"
YGL251C,YGL251C,HFM1,P51979,Meiosis specific DNA helicase involved in the conversion of double-stranded breaks to later recombination intermediates and in crossover control; catalyzes the unwinding of Holliday junctions; has ssDNA and dsDNA stimulated ATPase activity
YGR187C,YGR187C,HGH1,P48362,Nonessential protein of unknown function; predicted to be involved in ribosome biogenesis; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; similar to mammalian BRP16 (Brain protein 16)
YBR009C,YBR009C,HHF1,P02309,"Histone H4, core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF2); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity"
YNL030W,YNL030W,HHF2,P02309,"Histone H4, core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF1); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity"
YPL127C,YPL127C,HHO1,P53551,"Histone H1, a linker histone required for nucleosome packaging at restricted sites; suppresses DNA repair involving homologous recombination; not required for telomeric silencing, basal transcriptional repression, or efficient sporulation"
YBR010W,YBR010W,HHT1,P61830,"Histone H3, core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT2); regulated by acetylation, methylation, and phosphorylation"
YNL031C,YNL031C,HHT2,P61830,"Histone H3, core histone protein required for chromatin assembly, part of heterochromatin-mediated telomeric and HM silencing; one of two identical histone H3 proteins (see HHT1); regulated by acetylation, methylation, and phosphorylation"
YEL059W,YEL059W,YEL059W,P39982,Dubious open reading frame unlikely to encode a functional protein; mutant is hypersensitive to hygromycin B indicative of defects in vacuolar trafficking
YLL022C,YLL022C,HIF1,Q12373,"Non-essential component of the HAT-B histone acetyltransferase complex (Hat1p-Hat2p-Hif1p), localized to the nucleus; has a role in telomeric silencing"
YDR317W,YDR317W,HIM1,Q06674,Protein of unknown function involved in DNA repair
YGR191W,YGR191W,HIP1,P06775,"High-affinity histidine permease, also involved in the transport of manganese ions"
YBL008W,YBL008W,HIR1,P32479,"Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation, heterochromatic gene silencing, and formation of functional kinetochores"
YOR038C,YOR038C,HIR2,P32480,"Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription; recruits Swi-Snf complexes to histone gene promoters; promotes heterochromatic gene silencing with Asf1p"
YJR140C,YJR140C,HIR3,P47171,Subunit of the HIR complex; a nucleosome assembly complex involved in regulation of histone gene transcription; involved in position-dependent gene silencing and nucleosome reassembly; ortholog of human CABIN1 protein
YER055C,YER055C,HIS1,P00498,"ATP phosphoribosyltransferase, a hexameric enzyme, catalyzes the first step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control"
YFR025C,YFR025C,HIS2,P38635,"Histidinolphosphatase, catalyzes the eighth step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control"
YOR202W,YOR202W,HIS3,P06633,"Imidazoleglycerol-phosphate dehydratase, catalyzes the sixth step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control via Gcn4p"
YCL030C,YCL030C,HIS4,P00815,"Multifunctional enzyme containing phosphoribosyl-ATP pyrophosphatase, phosphoribosyl-AMP cyclohydrolase, and histidinol dehydrogenase activities; catalyzes the second, third, ninth and tenth steps in histidine biosynthesis"
YIL116W,YIL116W,HIS5,P07172,"Histidinol-phosphate aminotransferase, catalyzes the seventh step in histidine biosynthesis; responsive to general control of amino acid biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts"
YIL020C,YIL020C,HIS6,P40545,"Phosphoribosyl-5-amino-1-phosphoribosyl-4-imidazolecarboxiamide isomerase, catalyzes the fourth step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts"
YBR248C,YBR248C,HIS7,P33734,"Imidazole glycerol phosphate synthase (glutamine amidotransferase:cyclase), catalyzes the fifth and sixth steps of histidine biosynthesis and also produces 5-aminoimidazole-4-carboxamide ribotide (AICAR), a purine precursor"
YJR055W,YJR055W,HIT1,P46973,"Protein of unknown function, required for growth at high temperature"
YDR420W,YDR420W,HKR1,P41809,"Mucin family member that functions as an osmosensor in the Sho1p-mediated HOG pathway with Msb2p; proposed to be a negative regulator of filamentous growth; mutant displays defects in beta-1,3 glucan synthesis and bud site selection"
YMR161W,YMR161W,HLJ1,P48353,"Co-chaperone for Hsp40p, anchored in the ER membrane; with its homolog Ydj1p promotes ER-associated protein degradation (ERAD) of integral membrane substrates; similar to E. coli DnaJ"
YDR528W,YDR528W,HLR1,Q04429,"Protein involved in regulation of cell wall composition and integrity and response to osmotic stress; overproduction suppresses a lysis sensitive PKC mutation; similar to Lre1p, which functions antagonistically to protein kinase A"
YER057C,YER057C,HMF1,P40037,"Member of the p14.5 protein family with similarity to Mmf1p, functionally complements Mmf1p function when targeted to mitochondria; heat shock inducible; high-dosage growth inhibitor; forms a homotrimer in vitro"
YML075C,YML075C,HMG1,P12683,"One of two isozymes of HMG-CoA reductase that catalyzes the conversion of HMG-CoA to mevalonate, which is a rate-limiting step in sterol biosynthesis; localizes to the nuclear envelope; overproduction induces the formation of karmellae"
YLR450W,YLR450W,HMG2,P12684,"One of two isozymes of HMG-CoA reductase that convert HMG-CoA to mevalonate, a rate-limiting step in sterol biosynthesis; overproduction induces assembly of peripheral ER membrane arrays and short nuclear-associated membrane stacks"
YOL095C,YOL095C,HMI1,Q12039,"Mitochondrial inner membrane localized ATP-dependent DNA helicase, required for the maintenance of the mitochondrial genome; not required for mitochondrial transcription; has homology to E. coli helicase uvrD"
YCL066W,YCL066W,HMLALPHA1,P0CY07,"Silenced copy of ALPHA1 at HML, encoding a transcriptional coactivator involved in the regulation of mating-type alpha-specific gene expression"
YCL067C,YCL067C,HMLALPHA2,P0CY09,Silenced copy of ALPHA2 at HML; homeobox-domain protein that associates with Mcm1p in haploid cells to repress a-specific gene expression and interacts with a1p in diploid cells to repress haploid-specific gene expression
YDR174W,YDR174W,HMO1,Q03973,"Chromatin associated high mobility group (HMG) family member involved in genome maintenance; rDNA-binding component of the Pol I transcription system; associates with a 5'-3' DNA helicase and Fpr1p, a prolyl isomerase"
YCR097W,YCR097W,HMRA1,P0CY11,Silenced copy of a1 at HMR; homeobox corepressor that interacts with Alpha2p to repress haploid-specific gene transcription in diploid cells
YCR096C,YCR096C,HMRA2,P0CY13,Silenced copy of a2 at HMR; similarity to Alpha2p; required along with a1p for inhibiting expression of the HO endonuclease in a/alpha HO/HO diploid cells with an active mating-type interconversion system
YOR032C,YOR032C,HMS1,Q12398,Basic helix-loop-helix (bHLH) protein with similarity to myc-family transcription factors; overexpression confers hyperfilamentous growth and suppresses the pseudohyphal filamentation defect of a diploid mep1 mep2 homozygous null mutant
YJR147W,YJR147W,HMS2,P47175,Protein with similarity to heat shock transcription factors; overexpression suppresses the pseudohyphal filamentation defect of a diploid mep1 mep2 homozygous null mutant
YBR034C,YBR034C,HMT1,P38074,"Nuclear SAM-dependent mono- and asymmetric arginine dimethylating methyltransferase that modifies hnRNPs, including Npl3p and Hrp1p, affecting their activity and nuclear export; methylates U1 snRNP protein Snp1p and ribosomal protein Rps2p"
YLR205C,YLR205C,HMX1,P32339,"ER localized heme oxygenase, involved in heme degradation during iron starvation and in the oxidative stress response; expression is regulated by AFT1 and oxidative stress; relocates to the perinuclear region in the presence of oxidants"
YGL077C,YGL077C,HNM1,P19807,Choline/ethanolamine transporter; involved in the uptake of nitrogen mustard and the uptake of glycine betaine during hypersaline stress; co-regulated with phospholipid biosynthetic genes and negatively regulated by choline and myo-inositol
YDL125C,YDL125C,HNT1,Q04344,"Adenosine 5'-monophosphoramidase; interacts physically and genetically with Kin28p, a CDK and TFIIK subunit, and genetically with CAK1; member of the histidine triad (HIT) superfamily of nucleotide-binding proteins and similar to Hint"
YDR305C,YDR305C,HNT2,P49775,Dinucleoside triphosphate hydrolase; has similarity to the tumor suppressor FHIT and belongs to the histidine triad (HIT) superfamily of nucleotide-binding proteins
YOR258W,YOR258W,HNT3,Q08702,"DNA 5' AMP hydrolase involved in DNA repair; member of the histidine triad (HIT) superfamily of nucleotide-binding proteins; homolog of Aprataxin, a Hint related protein that is mutated in individuals with ataxia with oculomotor apraxia"
YDL227C,YDL227C,HO,P09932,"Site-specific endonuclease required for gene conversion at the MAT locus (homothallic switching) through the generation of a ds DNA break; expression restricted to mother cells in late G1 as controlled by Swi4p-Swi6p, Swi5p and Ash1p"
YJR075W,YJR075W,HOC1,P47124,"Alpha-1,6-mannosyltransferase involved in cell wall mannan biosynthesis; subunit of a Golgi-localized complex that also contains Anp1p, Mnn9p, Mnn11p, and Mnn10p; identified as a suppressor of a cell lysis sensitive pkc1-371 allele"
YMR032W,YMR032W,HOF1,Q05080,"Bud neck-localized, SH3 domain-containing protein required for cytokinesis; regulates actomyosin ring dynamics and septin localization; interacts with the formins, Bni1p and Bnr1p, and with Cyk3p, Vrp1p, and Bni5p"
YLR113W,YLR113W,HOG1,P32485,Mitogen-activated protein kinase involved in osmoregulation; acts via three independent osmosensors; mitophagy-specific regulator; mediates the recruitment and activation of RNA Pol II at Hot1p-dependent promoters; localization regulated by Ptp2p and Ptp3p
YNR055C,YNR055C,HOL1,P53389,Putative transporter in the major facilitator superfamily (DHA1 family) of multidrug resistance transporters; mutations in membrane-spanning domains permit cation and histidinol uptake
YDR158W,YDR158W,HOM2,P13663,"Aspartic beta semi-aldehyde dehydrogenase, catalyzes the second step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis"
YER052C,YER052C,HOM3,P10869,Aspartate kinase (L-aspartate 4-P-transferase); cytoplasmic enzyme that catalyzes the first step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis
YJR139C,YJR139C,HOM6,P31116,"Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase), dimeric enzyme that catalyzes the third step in the common pathway for methionine and threonine biosynthesis; enzyme has nucleotide-binding, dimerization and catalytic regions"
YIL072W,YIL072W,HOP1,P20050,Meiosis-specific DNA binding protein that displays Red1p dependent localization to the unsynapsed axial-lateral elements of the synaptonemal complex; required for homologous chromosome synapsis and chiasma formation
YGL033W,YGL033W,HOP2,P53187,"Meiosis-specific protein that localizes to chromosomes, preventing synapsis between nonhomologous chromosomes and ensuring synapsis between homologs; complexes with Mnd1p to promote homolog pairing and meiotic double-strand break repair"
YMR251W-A,YMR251W-A,HOR7,Q05827,Protein of unknown function; overexpression suppresses Ca2+ sensitivity of mutants lacking inositol phosphorylceramide mannosyltransferases Csg1p and Csh1p; transcription is induced under hyperosmotic stress and repressed by alpha factor
YPR068C,YPR068C,HOS1,Q12214,"Class I histone deacetylase (HDAC) family member that deacetylates Smc3p on lysine residues at anaphase onset; has sequence similarity to Hda1p, Rpd3p, Hos2p, and Hos3p; interacts with the Tup1p-Ssn6p corepressor complex"
YGL194C,YGL194C,HOS2,P53096,"Histone deacetylase required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex, a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity"
YPL116W,YPL116W,HOS3,Q02959,"Trichostatin A-insensitive homodimeric histone deacetylase (HDAC) with specificity in vitro for histones H3, H4, H2A, and H2B; similar to Hda1p, Rpd3p, Hos1p, and Hos2p; deletion results in increased histone acetylation at rDNA repeats"
YIL112W,YIL112W,HOS4,P40480,"Subunit of the Set3 complex, which is a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; potential Cdc28p substrate"
YMR172W,YMR172W,HOT1,Q03213,Transcription factor required for the transient induction of glycerol biosynthetic genes GPD1 and GPP2 in response to high osmolarity; targets Hog1p to osmostress responsive promoters; has similarity to Msn1p and Gcr1p
YKL084W,YKL084W,HOT13,P36078,"Zinc-binding mitochondrial intermembrane space (IMS) protein involved in a disulfide relay system for IMS import of cysteine-containing proteins; binds Mia40p and stimulates its Erv1p-dependent oxidation, probably by sequestering zinc"
YPR193C,YPR193C,HPA2,Q06592,"Tetrameric histone acetyltransferase with similarity to Gcn5p, Hat1p, Elp3p, and Hpa3p; acetylates histones H3 and H4 in vitro and exhibits autoacetylation activity"
YEL066W,YEL066W,HPA3,P39979,"D-Amino acid N-acetyltransferase, catalyzes N-acetylation of D-amino acids through ordered bi-bi mechanism in which acetyl-CoA is first substrate bound and CoA is last product liberated; similar to Hpa2p, acetylates histones weakly in vitro"
YBR215W,YBR215W,HPC2,Q01448,"Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription; mutants display synthetic defects with subunits of FACT, a complex that allows passage of RNA Pol II through nucleosomes"
YOL155C,YOL155C,HPF1,Q05164,Haze-protective mannoprotein that reduces the particle size of aggregated proteins in white wines
YIL110W,YIL110W,HPM1,P40481,AdoMet-dependent methyltransferase involved in a novel 3-methylhistidine modification of ribosomal protein Rpl3p; seven beta-strand MTase family member; null mutant exhibits a weak vacuolar protein sorting defect and caspofungin resistance
YDR138W,YDR138W,HPR1,P17629,"Subunit of THO/TREX complexes that couple transcription elongation with mitotic recombination and with mRNA metabolism and export, subunit of an RNA Pol II complex; regulates lifespan; involved in telomere maintenance; similar to Top1p"
YDR399W,YDR399W,HPT1,Q04178,"Dimeric hypoxanthine-guanine phosphoribosyltransferase, catalyzes the formation of both inosine monophosphate and guanosine monophosphate; mutations in the human homolog HPRT1 can cause Lesch-Nyhan syndrome and Kelley-Seegmiller syndrome"
YNL004W,YNL004W,HRB1,P38922,"Poly(A+) RNA-binding protein, involved in the export of mRNAs from the nucleus to the cytoplasm; similar to Gbp2p and Npl3p"
YOL013C,YOL013C,HRD1,Q08109,Ubiquitin-protein ligase required for endoplasmic reticulum-associated degradation (ERAD) of misfolded proteins; genetically linked to the unfolded protein response (UPR); regulated through association with Hrd3p; contains an H2 ring finger
YLR207W,YLR207W,HRD3,Q05787,"Resident protein of the ER membrane that plays a central role in ER-associated protein degradation (ERAD), forms HRD complex with Hrd1p and ERAD determinants that engages in lumen to cytosol communication and coordination of ERAD events"
YLR301W,YLR301W,HRI1,Q05905,Protein of unknown function that interacts with Sec72p and Hrr25p
YOR267C,YOR267C,HRK1,Q08732,Protein kinase implicated in activation of the plasma membrane H(+)-ATPase Pma1p in response to glucose metabolism; plays a role in ion homeostasis
YOL123W,YOL123W,HRP1,Q99383,"Subunit of cleavage factor I, a five-subunit complex required for the cleavage and polyadenylation of pre-mRNA 3' ends; RRM-containing heteronuclear RNA binding protein and hnRNPA/B family member that binds to poly (A) signal sequences"
YDR291W,YDR291W,HRQ1,Q05549,Putative RecQ helicase; belongs to the widely conserved RecQ family of proteins which are involved in maintaining genomic integrity; similar to the human RecQ4p implicated in Rothmund-Thomson syndrome(RTS)
YPL204W,YPL204W,HRR25,P29295,"Protein kinase involved in regulating diverse events including vesicular trafficking, DNA repair, and chromosome segregation; binds the CTD of RNA pol II; homolog of mammalian casein kinase 1delta (CK1delta)"
YOL133W,YOL133W,HRT1,Q08273,"RING finger containing subunit of Skp1-Cullin-F-box ubiquitin protein ligases (SCF); required for Gic2p, Far1p, Sic1p and Cln2p degradation; may tether Cdc34p (a ubiquitin conjugating enzyme or E2) and Cdc53p (a cullin) subunits of SCF"
YLR097C,YLR097C,HRT3,Q12347,"Putative SCF-ubiquitin ligase F-box protein, based on both genetic and physical interactions and sequence similarity; identified in association with Cdc53p, Skp1p and Ubi4 in large and small-scale studies"
YMR186W,YMR186W,HSC82,P15108,"Cytoplasmic chaperone of the Hsp90 family, redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock"
YHL002W,YHL002W,HSE1,P38753,"Subunit of the endosomal Vps27p-Hse1p complex required for sorting of ubiquitinated membrane proteins into intralumenal vesicles prior to vacuolar degradation, as well as for recycling of Golgi proteins and formation of lumenal membranes"
YGL073W,YGL073W,HSF1,P10961,"Trimeric heat shock transcription factor, activates multiple genes in response to stresses that include hyperthermia; recognizes variable heat shock elements (HSEs) consisting of inverted NGAAN repeats; posttranslationally regulated"
YMR288W,YMR288W,HSH155,P49955,U2-snRNP associated splicing factor that forms extensive associations with the branch site-3' splice site-3' exon region upon prespliceosome formation; similarity to the mammalian U2 snRNP-associated splicing factor SAP155
YOR319W,YOR319W,HSH49,Q99181,U2-snRNP associated splicing factor with similarity to the mammalian splicing factor SAP49; proposed to function as a U2-snRNP assembly factor along with Hsh155p and binding partner Cus1p; contains two RNA recognition motifs (RRM)
YKL138C-A,YKL138C-A,HSK3,P69852,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis"
YKL101W,YKL101W,HSL1,P34244,"Nim1p-related protein kinase that regulates the morphogenesis and septin checkpoints; associates with the assembled septin filament; required along with Hsl7p for bud neck recruitment, phosphorylation, and degradation of Swe1p"
YBR133C,YBR133C,HSL7,P38274,"Protein arginine N-methyltransferase that exhibits septin and Hsl1p-dependent bud neck localization and periodic Hsl1p-dependent phosphorylation; required along with Hsl1p for bud neck recruitment, phosphorylation, and degradation of Swe1p"
YBR272C,YBR272C,HSM3,P38348,Proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasomal regulatory particle (RP); involved in DNA mismatch repair during slow growth; weak similarity to Msh1p; related to human 19S subunit S5b
YLL026W,YLL026W,HSP104,P31539,"Heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation"
YOR020C,YOR020C,HSP10,P38910,"Mitochondrial matrix co-chaperonin that inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin; involved in protein folding and sorting in the mitochondria; 10 kD heat shock protein with similarity to E. coli groES"
YFL014W,YFL014W,HSP12,P22943,"Plasma membrane protein involved in maintaining membrane organization in stress conditions; induced by heat shock, oxidative stress, osmostress, stationary phase, glucose depletion, oleate and alcohol; regulated by HOG and Ras-Pka pathways"
YJL159W,YJL159W,HSP150,P32478,"O-mannosylated heat shock protein that is secreted and covalently attached to the cell wall via beta-1,3-glucan and disulfide bridges; required for cell wall stability; induced by heat shock, oxidative stress, and nitrogen limitation"
YBR072W,YBR072W,HSP26,P15992,"Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; oligomer activation requires heat-induced conformational change; also has mRNA binding activity"
YCR021C,YCR021C,HSP30,P25619,"Hydrophobic plasma membrane localized, stress-responsive protein that negatively regulates the H(+)-ATPase Pma1p; induced by heat shock, ethanol treatment, weak organic acid, glucose limitation, and entry into stationary phase"
YDR533C,YDR533C,HSP31,Q04432,"Possible chaperone and cysteine protease with similarity to E. coli Hsp31; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease; exists as a dimer and contains a putative metal-binding site"
YPL280W,YPL280W,HSP32,Q08992,"Possible chaperone and cysteine protease with similarity to E. coli Hsp31 and S. cerevisiae Hsp31p, Hsp33p, and Sno4p; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease"
YOR391C,YOR391C,HSP33,Q08914,"Possible chaperone and cysteine protease with similarity to E. coli Hsp31 and S. cerevisiae Hsp31p, Hsp32p, and Sno4p; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease"
YDR171W,YDR171W,HSP42,Q12329,Small heat shock protein (sHSP) with chaperone activity; forms barrel-shaped oligomers that suppress unfolded protein aggregation; involved in cytoskeleton reorganization after heat shock
YLR259C,YLR259C,HSP60,P19882,Tetradecameric mitochondrial chaperonin required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated
YDR258C,YDR258C,HSP78,P33416,Oligomeric mitochondrial matrix chaperone that cooperates with Ssc1p in mitochondrial thermotolerance after heat shock; able to prevent the aggregation of misfolded proteins as well as resolubilize protein aggregates
YPL240C,YPL240C,HSP82,P02829,"Hsp90 chaperone required for pheromone signaling and negative regulation of Hsf1p; docks with Tom70p for mitochondrial preprotein delivery; promotes telomerase DNA binding and nucleotide addition; interacts with Cns1p, Cpr6p, Cpr7p, Sti1p"
YOL068C,YOL068C,HST1,P53685,NAD(+)-dependent histone deacetylase; essential subunit of the Sum1p/Rfm1p/Hst1p complex required for ORC-dependent silencing and mitotic repression; non-essential subunit of the Set3C deacetylase complex; involved in telomere maintenance
YPL015C,YPL015C,HST2,P53686,Cytoplasmic member of the silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases; modulates nucleolar (rDNA) and telomeric silencing; possesses NAD(+)-dependent histone deacetylase activity in vitro
YOR025W,YOR025W,HST3,P53687,"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst4p in telomeric silencing, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism"
YDR191W,YDR191W,HST4,P53688,"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst3p in silencing at telomeres, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism"
YGR223C,YGR223C,HSV2,P50079,"Phosphatidylinositol 3,5-bisphosphate-binding protein, plays a role in micronucleophagy; predicted to fold as a seven-bladed beta-propeller; displays punctate cytoplasmic localization"
YDR225W,YDR225W,HTA1,P04911,"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical subtypes (see also HTA2); DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p"
YBL003C,YBL003C,HTA2,P04912,"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p"
YDR224C,YDR224C,HTB1,P02293,"Histone H2B, core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB2; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation, meiotic DSB formation and H3 methylation"
YBL002W,YBL002W,HTB2,P02294,"Histone H2B, core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation, meiotic DSB formation and H3 methylation"
YHR067W,YHR067W,HTD2,P38790,"Mitochondrial 3-hydroxyacyl-thioester dehydratase involved in fatty acid biosynthesis, required for respiratory growth and for normal mitochondrial morphology"
